Date,Job_Count
2026-01-28,9
2026-01-29,295
2026-01-30,3739
2026-02-05,3941
2026-03-12,47197
2026-03-15,50409
2026-03-19,25149
2026-03-22,28826
2026-03-26,33759
2026-03-29,37265
2026-04-05,20193
2026-04-09,25455
2026-04-10,25455
2026-04-12,28988
2026-04-16,33848
2026-04-19,37309
2026-04-23,42399
2026-04-26,45815
2026-04-28,45815
2026-04-30,47686
2026-05-04,13858
2026-05-07,7920
