name,title,company,seniority_tier,function_category,role,conference_name,year,session_title,linkedin_url,total_appearances
Kyle Denhoff,,HubSpot,unknown,other,speaker,INBOUND,2026,Creator CEO Playbook: Solopreneur to Media Corp in 2025,https://www.linkedin.com/in/kyledenhoff,6
Kyle Jepson,,HubSpot,unknown,other,speaker,INBOUND,2026,HubSpot Admin Pro Tips: Hidden Gems and Advanced Techniques,https://www.linkedin.com/in/kyleanthonyjepson,6
Laura Alber,CEO,"Williams-Sonoma, Inc.",c_level,other,speaker,Dreamforce,2026,,https://www.linkedin.com/in/maffei-rc,6
Lauren Noonan,,,unknown,other,speaker,Sandler Summit,2026,The Devil is in the Details,,6
Leadership Track,,,unknown,other,speaker,Sandler Summit,2026,How supportive are your selling beliefs... and how much is it costing you?,,6
Leah McGowen-Hare,"SVP, Forward-Deployed Engineering, Global Growth & Impact",Salesforce,svp,engineering,speaker,Dreamforce,2026,,https://www.linkedin.com/in/leah-mcgowen-hare-msed,6
Lindon Gao,Co-Founder & CEO,Dyna Robotics,c_level,other,speaker,Dreamforce,2026,,https://www.linkedin.com/in/lindon-gao,6
Lisa Ellis,,,unknown,other,speaker,Sandler Summit,2026,The Psychology Behind the 30-Second Commercial,,6
Maithra Raghu,Founder & CEO,Samaya AI,c_level,other,speaker,Dreamforce,2026,,https://www.linkedin.com/in/maithra-raghu,6
Marc Benioff,"Chair, CEO & Co-Founder",Salesforce,c_level,data,speaker,Dreamforce,2026,,https://www.linkedin.com/in/marcbenioff,6
Marcus Lemonis,"CEO, Camping World; Executive Chairman","Bed Bath & Beyond; Host, Fox Business’ “The Fixer”",c_level,data,speaker,Dreamforce,2026,,,6
Maria Shriver,"Award-Winning Journalist, NYT Bestselling Author, Entrepreneur & Advocate",,unknown,other,speaker,Dreamforce,2026,,,6
Matt Neuberger,,,unknown,other,speaker,Sandler Summit,2026,How supportive are your selling beliefs... and how much is it costing you?,,6
Matthew Alex Ruxton,,Ignite Reading,unknown,other,speaker,INBOUND,2026,Segmentation Magic: Data Hub and Marketing Hub Unite,https://www.linkedin.com/in/matthewaruxton,6
Matthew McConaughey,"Academy-Award Winning Actor, NYT Bestselling Author & Salesforce Brand Partner",,c_level,sales,speaker,Dreamforce,2026,,,6
Maximum Performance Management,,,unknown,other,speaker,Sandler Summit,2026,The Psychology Behind the 30-Second Commercial,,6
May Habib,Co-Founder & CEO,WRITER,c_level,other,speaker,Dreamforce,2026,,https://www.linkedin.com/in/may-habib,6
McDonell Consulting Group,,,unknown,other,speaker,Sandler Summit,2026,Know Your Buyer: Selling to the Person Behind the Persona,,6
Mel Robbins,"Creator & Host, “The Mel Robbins Podcast” & #1 NYT Bestselling Author",,unknown,other,speaker,Dreamforce,2026,,,6
Michael Norton,,,unknown,other,speaker,Sandler Summit,2026,How supportive are your selling beliefs... and how much is it costing you?,,6
Mike Crandall,,,unknown,other,speaker,Sandler Summit,2026,The Power of Presence: Staying Focused and In Control in Sales Conversations,,6
Mike Jones,,,unknown,other,speaker,Sandler Summit,2026,The Devil is in the Details,,6
Miriam Vogel,President & CEO,EqualAI,c_level,other,speaker,Dreamforce,2026,,https://www.linkedin.com/in/miriamvogelai,6
Nancy Harhut,,HBT Marketing,unknown,other,speaker,INBOUND,2026,9 Counterintuitive Tactics Smart Marketers Can Exploit,https://www.linkedin.com/in/nancyharhut,6
Nigel Dunand,,,unknown,other,speaker,Sandler Summit,2026,The Power of Presence: Staying Focused and In Control in Sales Conversations,,6
Nikhil Kumar,Executive Editor,TIME,unknown,other,speaker,Dreamforce,2026,,https://www.linkedin.com/in/nikhil-kumar-050a9a19,6
Percy Liang,"Associate Professor, Stanford University & Co-Founder, Together AI",,ic,data,speaker,Dreamforce,2026,,,6
Refik Anadol,"Media Artist & Director, Refik Anadol Studio; Co-Founder",Dataland,c_level,other,speaker,Dreamforce,2026,,https://www.linkedin.com/in/refikanadol,6
Richard Smith,"COO, International & CEO, Airline",FedEx,c_level,operations,speaker,Dreamforce,2026,,https://www.linkedin.com/in/richard-smith-b3134240,6
Richard Socher,Founder & CEO,You.com,c_level,other,speaker,Dreamforce,2026,,https://www.linkedin.com/in/richardsocher,6
Rob Lowe,"Hollywood Icon, Actor, Producer, Director & Author",,director,other,speaker,Dreamforce,2026,,,6
Sales Lift,,,unknown,other,speaker,Sandler Summit,2026,All Prospects Lie All the Time... Unless They Don't Have To,,6
Sarah Greer,Award Winning Sales & Leadership Trainer and Coach,,unknown,sales,speaker,OutBound Conference,2026,,https://www.linkedin.com/in/sarah-greer-a157987/,6
Sarah Kodadek,,,unknown,other,speaker,Sandler Summit,2026,Sandler Your Way: How to Flex the System Without Breaking the Rules,,6
Sarika Garg,,HubSpot,unknown,other,speaker,INBOUND,2026,Time Kills Deals. AI CPQ Is Here.,https://www.linkedin.com/in/sarikagarg,6
Scott Bliss,,,unknown,other,speaker,Sandler Summit,2026,The Psychology Behind the 30-Second Commercial,,6
Scott O’Neil,CEO,LIV Golf,c_level,other,speaker,Dreamforce,2026,,,6
Seth Marrs,,,unknown,other,speaker,Sandler Summit,2026,"The Future of Sales is a Story About Iron Man, not The Terminator",,6
Sofia Rodriguez,,,unknown,other,speaker,Sandler Summit,2026,Know Your Buyer: Selling to the Person Behind the Persona,,6
Soledad O'Brien,CEO,Soledad O'Brien Productions,c_level,other,speaker,Dreamforce,2026,,https://www.linkedin.com/in/ej-offurum-3b43379,6
Stephane Moulec,CTO,Good360,c_level,other,speaker,Dreamforce,2026,,https://www.linkedin.com/in/stephanemoulec,6
Stuart Russell,Director,Center for Human-Compatible Artificial Intelligence,director,other,speaker,Dreamforce,2026,,https://www.linkedin.com/in/stuartjonathanrussell,6
Sundar Pichai,CEO,Google and Alphabet,c_level,other,speaker,Dreamforce,2026,,https://www.linkedin.com/in/sundarpichai,6
Sunny Gupta,Acting CEO & Executive Chair,Smartsheet,c_level,data,speaker,Dreamforce,2026,,https://www.linkedin.com/in/sgupta85,6
Sunshine Levin,,,unknown,other,speaker,Sandler Summit,2026,All Prospects Lie All the Time... Unless They Don't Have To,,6
Sydney Sloan,,G2,unknown,other,speaker,INBOUND,2026,How Top CMOs Are Using AI To Build B2B Creativity and Impact,https://www.linkedin.com/in/sydsloan,6
Tech-Enabled Sales Track,,,unknown,other,speaker,Sandler Summit,2026,How supportive are your selling beliefs... and how much is it costing you?,,6
Tekedra Mawakana,co-CEO,Waymo,unknown,other,speaker,Dreamforce,2026,,,6
The Comfort of Discomfort,,,unknown,other,speaker,Sandler Summit,2026,,,6
The Ruby Group,,,unknown,other,speaker,Sandler Summit,2026,The Devil is in the Details,,6
Thomas Niesen,,,unknown,other,speaker,Sandler Summit,2026,All Prospects Lie All the Time... Unless They Don't Have To,,6
Tim Goering,,,unknown,other,speaker,Sandler Summit,2026,The Psychology Behind the 30-Second Commercial,,6
Tyler Samani-Sprunk,,Simple Strat,unknown,other,speaker,INBOUND,2026,"Interactive Workflow Automation: You Vote, We Build—LIVE!",https://www.linkedin.com/in/tylersamanisprunk,6
Unstoppable,,,unknown,other,keynote,Sandler Summit,2026,"American Ninja Warrior, Award-Winning Leader, Entertainer",,6
Wilcox & Associates,,,unknown,other,speaker,Sandler Summit,2026,Know Your Buyer: Selling to the Person Behind the Persona,,6
Xilian Sansoucy,,HubSpot,unknown,other,speaker,INBOUND,2026,Scaling With AI: Growth Lessons From Early Founders,https://www.linkedin.com/in/xiliansansoucy,6
Yoshiki,"Japan's Biggest Rock Star, Fashion Designer & Cultural Icon, Founder of Melodee AI",,c_level,data,speaker,Dreamforce,2026,,,6
will.i.am,Founder & CEO,FYI.ai,c_level,other,speaker,Dreamforce,2026,,https://www.linkedin.com/in/lillykam,6
"Acuity Training Systems, Inc.",,,unknown,other,speaker,Sandler Summit,2026,All Prospects Lie All the Time... Unless They Don't Have To,,5
"Chairman, Trilliad",,,unknown,other,speaker,Sandler Summit,2026,Building and Scaling A Great Company,,5
"Chief Strategy Officer, Sandler",,,unknown,other,speaker,Sandler Summit,2026,"The Future of Sales is a Story About Iron Man, not The Terminator",,5
"Corporate Facilitator, Sandler",,,unknown,other,speaker,Sandler Summit,2026,Know Your Buyer: Selling to the Person Behind the Persona,,5
"Executive Chairman, Sandler",,,unknown,other,keynote,Sandler Summit,2026,"Smarter Sales: Enabled by Technology, Fueled by People",,5
"Head of Partnerships, Sandler",,,unknown,other,speaker,Sandler Summit,2026,All Prospects Lie All the Time... Unless They Don't Have To,,5
"Head of Product, Sandler",,,unknown,other,speaker,Sandler Summit,2026,The Psychology Behind the 30-Second Commercial,,5
Keynote Speaker: Gregory Offner,,,unknown,other,keynote,Sandler Summit,2026,"Author, Workforce Strategist, Award-Winning Speaker",,5
Lushin,,,unknown,other,speaker,Sandler Summit,2026,All Prospects Lie All the Time... Unless They Don't Have To,,5
"MakingLuck, Inc.",,,unknown,other,speaker,Sandler Summit,2026,The Psychology Behind the 30-Second Commercial,,5
Mattson Enterprises Inc.,,,unknown,other,speaker,Sandler Summit,2026,,,5
"Peak Performance Partners, LLC",,,unknown,other,speaker,Sandler Summit,2026,How supportive are your selling beliefs... and how much is it costing you?,,5
"Sandler Birmingham, UK",,,unknown,other,speaker,Sandler Summit,2026,The Power of Presence: Staying Focused and In Control in Sales Conversations,,5
Sandler Bristol UK,,,unknown,other,speaker,Sandler Summit,2026,The Human Code in the Age of AI Sales,,5
Sandler Israel,,,unknown,other,speaker,Sandler Summit,2026,The Signal vs Noise: The Hidden Variable to Success,,5
Sandler Serbia,,,unknown,other,speaker,Sandler Summit,2026,The Power of Presence: Staying Focused and In Control in Sales Conversations,,5
Sandler Tampa Bay,,,unknown,other,speaker,Sandler Summit,2026,Sandler Your Way: How to Flex the System Without Breaking the Rules,,5
Sandler Toronto,,,unknown,other,speaker,Sandler Summit,2026,The Signal vs Noise: The Hidden Variable to Success,,5
"Stress Physiologist, Author",,,unknown,other,keynote,Sandler Summit,2026,Fear(less) Mindset,,5
"Tailwind, Inc.",,,unknown,other,speaker,Sandler Summit,2026,The Signal vs Noise: The Hidden Variable to Success,,5
AJ Bruno,,QuotaPath,unknown,other,speaker,INBOUND,2026,5 Ways To Use HubSpot To Drive Best-In-Class Growth,https://www.linkedin.com/in/ajbruno3,4
AJ Wilcox,,B2Linked.com,unknown,other,speaker,INBOUND,2026,LinkedIn Ads Deep Dive: Get Big Discounts on Your Traffic,https://www.linkedin.com/in/wilcoxaj,4
Abiola Owolewa,,HubSpot,unknown,other,speaker,INBOUND,2026,What's New for Service With HubSpot,https://www.linkedin.com/in/abiola-owolewa,4
Adam Coccari,,HubSpot,unknown,other,speaker,INBOUND,2026,The AI Growth Stack: VC Insights on the New GTM Playbook,https://www.linkedin.com/in/adam-coccari-9932a134,4
Adam Harder,,InPress,unknown,other,speaker,INBOUND,2026,The Next Big AIdea,https://www.linkedin.com/in/adam-harder,4
Adam Stahl,,media junction®,unknown,other,speaker,INBOUND,2026,AI-Power Your Sales Process Without Becoming a Robot,https://www.linkedin.com/in/adam-stahl-44857632,4
Adriti Gulati,,HubSpot,unknown,other,speaker,INBOUND,2026,Lab: Building a Proactive Customer Support Strategy,https://www.linkedin.com/in/adriti-gulati,4
Aimee Catalano,,Google,unknown,other,speaker,INBOUND,2026,AI Powered Sales and Marketing With Google Workspace,https://www.linkedin.com/in/aimeecatalano,4
Alan Gould,,MutualMarkets,unknown,other,speaker,INBOUND,2026,Solving the Marketing Mystery: AI-Powered Brand Partnerships,https://www.linkedin.com/in/alangould,4
